,Интервал,Давтамж,Интервалын дундаж цэг,h = n/dn
0,"(1754.569, 6707.714]",15,4231.1415,4.9506126878262455e-06
1,"(6707.714, 11626.429]",16,9167.0715,5.280653533681329e-06
2,"(11626.429, 16545.143]",14,14085.786,4.620571841971162e-06
3,"(16545.143, 21463.857]",16,19004.5,5.280653533681329e-06
4,"(21463.857, 26382.571]",13,23923.214,4.290530996116079e-06
5,"(26382.571, 31301.286]",8,28841.9285,2.6403267668406644e-06
6,"(31301.286, 36220.0]",5,33760.643,1.6502042292754152e-06
