,Интервал,Давтамж,Интервалын дундаж цэг,h = n/dn
0,"(115.999, 1267.0]",40,691.4995,5.6811080433127676e-05
1,"(1267.0, 2410.0]",16,1838.5,2.2724432173251072e-05
2,"(2410.0, 3553.0]",8,2981.5,1.1362216086625536e-05
3,"(3553.0, 4696.0]",9,4124.5,1.2782493097453727e-05
4,"(4696.0, 5839.0]",5,5267.5,7.1013850541409595e-06
5,"(5839.0, 6982.0]",6,6410.5,8.521662064969151e-06
6,"(6982.0, 8125.0]",3,7553.5,4.2608310324845755e-06
